Episode,total_cost,wip_cost,fgi_cost,lateness_cost,overtime_cost,amount_of_shipped_orders,bottleneck_utilization,late_orders,early_orders,sum_of_lateness,sum_of_tardiness,average_flow_time
1,624341,26581,86208,287552,224000,65097,0.75,20859,44145,7768732,23321647,959.65
2,642665,28301,82540,307824,224000,65135,0.75,21876,43177,8446664,22860629,979.62
3,646359,28991,82648,310720,224000,65258,0.75,21835,43345,8380778,22925624,980.68
4,628073,26589,85116,292368,224000,65354,0.75,21162,44115,7434812,23199778,955.08
5,642704,28276,83388,307040,224000,64906,0.75,21392,43445,8305063,23186741,971.78
6,632919,27131,84764,297024,224000,64558,0.74,20845,43646,7983856,23388493,960.45
7,638787,28059,83336,303392,224000,65396,0.75,21405,43903,8019327,23022199,968.49
8,639484,28020,83400,304064,224000,65370,0.75,21582,43699,8194724,23148631,971.94
9,637864,27620,83124,303120,224000,64846,0.75,21328,43431,7791167,23056398,964.92
10,634835,27895,83772,299168,224000,65077,0.75,21473,43535,8518996,22980379,977.16
11,651160,29296,81832,316032,224000,65240,0.76,22343,42819,8834952,22527404,989.5
12,634206,27702,84552,297952,224000,65104,0.75,21235,43790,8225614,23144787,968.85
13,640441,27793,83064,305584,224000,65050,0.75,21501,43477,7844284,22813880,968.53
14,626979,27003,85832,290144,224000,64915,0.75,20830,43995,8183788,23398059,963.54
15,648407,29019,81196,314192,224000,65313,0.75,22184,43041,8654462,22505643,984.69
16,641552,28144,82672,306736,224000,64729,0.75,21527,43104,8437519,22946440,975.58
17,624911,26979,85004,288928,224000,64919,0.74,20527,44317,7451370,23571377,956.16
18,625033,26033,87736,287264,224000,64816,0.75,20571,44158,7510308,23922170,949.0
19,646885,28729,81484,312672,224000,65309,0.75,22052,43152,8284968,22741768,976.68
20,642087,28423,83760,305904,224000,65078,0.75,21660,43336,8579082,23052248,976.28
21,644668,28412,82688,309568,224000,64954,0.74,21860,43011,8521524,22988056,976.16
22,624450,26422,85084,288944,224000,64628,0.74,20976,43573,7831339,23343158,959.62
23,620533,26705,84452,285376,224000,64534,0.75,20507,43953,7723525,23287567,960.09
24,657272,29556,80548,323168,224000,65348,0.75,22605,42657,8853119,22440053,990.57
25,626143,26907,86660,288576,224000,64904,0.74,20522,44291,7877826,23723625,956.73
26,636637,27137,86220,299280,224000,65327,0.75,21297,43942,8135731,23625343,961.04
27,630769,27857,84576,294336,224000,65249,0.75,20703,44464,7896499,23425509,962.98
28,645755,28427,83168,310160,224000,65479,0.75,21824,43578,8320194,23112274,974.01
29,635078,27642,84172,299264,224000,65334,0.76,21601,43655,8253925,22993567,972.94
30,626269,26569,85684,290016,224000,64936,0.74,20902,43957,7775014,23455799,957.13
