Sample,total_cost,wip_cost,fgi_cost,lateness_cost,overtime_cost,amount_of_shipped_orders,bottleneck_utilization,late_orders,early_orders,sum_of_lateness,sum_of_tardiness,average_flow_time,service_level
always_action_0,787564,100892,29537,657134,0,65046,0.93,47053,17943,74106319,8127230,2213,0.28
always_action_2,780432,18917,105418,208097,448000,65058,0.62,14834,50149,4363578,29085298,819,0.77
always_action_1,636576,27741,83956,300879,224000,65072,0.75,21366,43624,8134639,23136975,969,0.67
ppo_simple,576560,35132,65928,377089,98412,64996,0.83,26893,38014,11490717,18274061,1095,0.59
custom,557719,33988,64600,371588,87542,65051,0.84,26502,38455,9845241,17931880,1075,0.59
ppo_regular,552911,31803,69643,344421,107043,64955,0.83,24514,40349,8830336,19318764,1038,0.62
