1	-32
2	-80
3	-56
4	-76
5	-71
6	-52
7	-75
8	-118
9	-170
10	-102
11	-65
12	-62
13	-52
14	-48
15	-54
16	-57
17	-129
18	-77
19	-78
20	-171
21	-141
22	-157
23	-250
24	-75
25	-105
26	-138
27	-203
28	-215
29	-112
30	-39
31	-90
32	-91
33	-215
34	-152
35	-100
36	-52
37	-112
38	-80
39	-112
40	-84
41	-40
42	-81
43	-83
44	-66
45	-52
46	-82
47	-88
48	-93
49	-137
50	-142
51	-62
52	-54
53	-40
54	-44
55	-56
56	-131
57	-117
58	-88
59	-55
60	-71
61	-44
62	-75
63	-146
64	-88
65	-80
66	-60
67	-100
68	-82
69	-51
70	-60
71	-64
72	-50
73	-56
74	-42
75	-68
76	-116
77	-83
78	-43
79	-90
80	-188
81	-56
82	-60
83	-73
84	-103
85	-40
86	-60
87	-68
88	-54
89	-76
90	-56
91	-65
92	-69
93	-76
94	-53
95	-55
96	-169
97	-62
98	-106
99	-71
100	-69
101	-57
102	-47
103	-122
104	-68
105	-61
106	-74
107	-88
108	-78
109	-171
110	-139
111	-149
112	-137
113	-133
114	-61
115	-40
116	-80
117	-48
118	-76
119	-53
120	-48
121	-185
122	-138
123	-155
124	-214
125	-56
126	-68
127	-82
128	-83
129	-62
130	-44
131	-52
132	-92
133	-56
134	-48
135	-109
136	-69
137	-67
138	-52
139	-87
140	-40
141	-45
142	-73
143	-103
144	-145
145	-66
146	-53
147	-110
148	-75
149	-60
150	-53
151	-191
152	-47
153	-64
154	-106
155	-186
156	-112
157	-201
158	-152
159	-119
160	-44
161	-64
162	-54
163	-56
164	-48
165	-76
166	-72
167	-90
168	-65
169	-64
170	-52
171	-48
172	-55
173	-90
174	-78
175	-60
176	-56
177	-52
178	-57
179	-48
180	-61
181	-64
182	-63
183	-69
184	-57
185	-106
186	-90
187	-138
188	-72
189	-51
190	-57
191	-77
192	-80
193	-67
194	-64
195	-92
196	-68
197	-56
198	-44
199	-64
200	-64
201	-86
202	-70
203	-36
204	-53
205	-72
206	-80
207	-67
208	-80
209	-63
210	-80
211	-65
212	-76
213	-38
214	-135
215	-101
216	-89
217	-76
218	-100
219	-77
220	-86
221	-36
222	-87
223	-62
224	-74
225	-52
226	-93
227	-69
228	-135
229	-157
230	-71
231	-46
232	-91
233	-56
234	-97
235	-57
236	-96
237	-44
238	-86
