Episode,total_cost,wip_cost,fgi_cost,lateness_cost,overtime_cost,amount_of_shipped_orders,bottleneck_utilization,late_orders,early_orders,sum_of_lateness,sum_of_tardiness,average_flow_time
1,738981,112673,46100,580208,0,65165,0.94,41649,23480,75856996,12676409,2411.88
2,713685,103473,49908,560304,0,64867,0.93,39463,25359,63947106,13794526,2212.72
3,745894,106674,43876,595344,0,65353,0.94,43573,21727,80200732,11637796,2489.94
4,771745,118637,43060,610048,0,65275,0.94,42671,22562,76220159,12347903,2420.51
5,718899,96799,47156,574944,0,65251,0.93,40710,24482,64987104,13202611,2234.36
6,703112,104888,51904,546320,0,65021,0.93,38912,26059,66404621,14356463,2241.52
7,750260,125096,47932,577232,0,64885,0.93,39845,25009,82653373,13816486,2501.58
8,695206,98894,51800,544512,0,64965,0.93,38878,26035,61669838,14193316,2171.23
9,693611,98051,52056,543504,0,64827,0.93,39638,25150,64478938,13740803,2220.64
10,748646,108774,46000,593872,0,65220,0.93,41777,23396,68961055,12821499,2299.99
11,674214,87070,52840,534304,0,65105,0.93,40354,24693,67747583,13364755,2275.0
12,718487,105527,48640,564320,0,65156,0.93,39160,25954,63038163,13901574,2192.84
13,665726,86866,53580,525280,0,64603,0.93,37375,27177,49578991,14793639,1978.14
14,694466,96602,52088,545776,0,64737,0.93,39023,25683,59353825,14196725,2138.07
15,688469,97453,51752,539264,0,64844,0.93,38289,26502,59745175,14353173,2139.37
16,718955,107279,48364,563312,0,65013,0.94,41962,23007,99796150,12442761,2784.1
17,649070,81162,54836,513072,0,64819,0.93,37276,27496,49178030,14819945,1970.14
18,654181,87545,56172,510464,0,64508,0.92,35972,28477,50448658,15686631,1978.29
19,690125,95625,53156,541344,0,64780,0.93,38854,25870,58556228,14216329,2123.03
20,712836,107380,51936,553520,0,64642,0.93,39346,25261,68206923,14013154,2276.99
21,660075,83959,53380,522736,0,64751,0.92,36834,27858,45112384,15011692,1904.52
22,699416,98544,49800,551072,0,64940,0.93,39507,25402,61893499,13687861,2181.81
23,671318,93714,54948,522656,0,64633,0.92,36955,27632,55208080,15162061,2059.42
24,671578,87734,53492,530352,0,65426,0.93,38769,26614,55947997,14372523,2075.85
25,674426,92138,54192,528096,0,64828,0.93,38246,26524,55678480,14520021,2075.75
26,677464,90920,53840,532704,0,64858,0.92,37937,26889,53341480,14759493,2035.23
27,675306,89138,53288,532880,0,64899,0.93,38298,26546,53249376,14419776,2038.47
28,665530,87390,55260,522880,0,64809,0.92,37531,27229,54076329,14906181,2045.2
29,779695,120911,40672,618112,0,64920,0.94,42294,22585,76567954,12203348,2431.43
30,672350,91390,54016,526944,0,64860,0.93,37670,27126,55648159,14802141,2069.43
