Episode,total_cost,wip_cost,fgi_cost,lateness_cost,overtime_cost,amount_of_shipped_orders,bottleneck_utilization,late_orders,early_orders,sum_of_lateness,sum_of_tardiness,average_flow_time
1,518233,40753,103688,261568,112224,64735,0.83,18710,45967,13152945,27637664,1215.99
2,527308,41352,101860,274640,109456,64916,0.83,19530,45312,12302231,27200315,1211.76
3,532729,41297,100632,276352,114448,65030,0.84,19517,45469,11830766,27065175,1206.91
4,539589,43241,100572,284320,111456,65340,0.84,19915,45371,13365880,27108469,1230.87
5,539206,43754,98940,284288,112224,65359,0.84,20553,44755,14209201,26441310,1254.13
6,536745,42409,101616,282112,110608,65271,0.83,20284,44926,13504520,26797629,1234.46
7,531106,41746,101712,275904,111744,65307,0.83,19728,45518,12612158,27170251,1217.86
8,519808,39276,102756,264128,113648,64690,0.83,18386,46238,10188317,27758951,1169.0
9,547183,44147,99484,293104,110448,65213,0.84,20929,44229,15015961,26477334,1264.63
10,528751,41471,101200,274672,111408,64684,0.83,19252,45376,12191846,27070976,1207.07
11,512843,38707,104472,256432,113232,64788,0.82,18315,46416,10517309,27918119,1170.79
12,553686,44750,96472,300224,112240,65240,0.84,21355,43825,14070151,25700923,1261.5
13,553648,44232,99656,296608,113152,65107,0.83,20505,44548,14055603,26903830,1243.02
14,530452,41484,101688,275392,111888,64858,0.83,19344,45460,12159785,27186253,1210.57
15,530870,40670,101544,276944,111712,64696,0.83,19488,45159,11374002,27120297,1196.83
16,519648,41152,101280,265488,111728,64875,0.83,18925,45898,12099575,27225644,1208.3
17,528896,41624,100200,274672,112400,64847,0.83,19390,45401,11930365,27000468,1207.29
18,550454,43622,95760,300400,110672,65322,0.84,21134,44137,12645019,25882321,1237.53
19,544709,43897,96220,292352,112240,65471,0.84,20407,45004,12766527,26317960,1234.51
20,534868,42300,100232,279904,112432,64920,0.83,19970,44895,13210702,26716000,1231.85
21,527356,41248,103580,268880,113648,64771,0.83,19227,45482,12961758,27582206,1213.93
22,525264,40516,104460,267088,113200,64900,0.83,18836,46002,12062728,27632528,1197.14
23,549373,44329,97092,296512,111440,65360,0.84,20601,44693,13485196,26503014,1241.83
24,538343,44083,99412,284816,110032,65343,0.84,20137,45154,14102192,26619655,1248.77
25,527430,40946,101796,272960,111728,65104,0.83,19316,45727,11828844,27368567,1201.55
26,536735,43471,101808,280048,111408,65241,0.83,20266,44936,14550839,26864377,1249.93
27,539782,42890,101132,282912,112848,64982,0.83,19627,45296,13632037,27395076,1228.39
28,530475,41851,103104,273952,111568,65165,0.83,19157,45947,12682334,27736874,1209.19
29,530706,41774,100692,275696,112544,65035,0.84,19807,45174,12460534,26854460,1218.09
30,526705,41077,101932,270656,113040,64886,0.83,20099,44727,15183695,26613590,1262.99
