Episode,total_cost,wip_cost,fgi_cost,lateness_cost,overtime_cost,amount_of_shipped_orders,bottleneck_utilization,late_orders,early_orders,sum_of_lateness,sum_of_tardiness,average_flow_time
1,504178,38050,306768,46848,112512,64784,0.83,3763,61002,2186159,81105031,1181.29
2,508202,41858,296728,57760,111856,65310,0.84,4098,61192,2144115,79252562,1220.08
3,515931,43855,291676,67824,112576,64989,0.84,4713,60257,3269241,78487989,1241.49
4,514092,42480,297052,61408,113152,65553,0.84,4629,60906,2721309,79180086,1234.38
5,523476,42516,300208,67536,113216,65190,0.83,4738,60434,3811087,80292133,1226.94
6,515846,42638,295224,65216,112768,65372,0.84,5411,59938,4444662,77893218,1276.68
7,511972,42260,295232,61456,113024,65414,0.84,4555,60845,2592792,78814320,1232.21
8,503875,39167,302900,49136,112672,64804,0.83,3816,60978,2059520,80311268,1193.24
9,507514,39986,299448,56064,112016,64640,0.83,3798,60828,2110559,80442123,1188.34
10,510023,40855,298848,60848,109472,64798,0.83,4180,60602,2359559,79923943,1203.4
11,511136,41052,300276,59216,110592,64956,0.83,3934,61013,2565619,81085372,1193.63
12,511593,42953,293200,63632,111808,64996,0.84,4492,60493,2793335,78398585,1237.29
13,521705,43689,292448,74224,111344,64942,0.83,4843,60084,3440933,79239461,1232.38
14,512824,42464,295112,65568,109680,65145,0.84,4897,60229,3114720,78474961,1243.11
15,512833,43489,291808,65600,111936,65234,0.84,4570,60640,2677292,78503256,1239.56
16,521957,45077,292272,73776,110832,65497,0.84,4820,60656,3383657,78734422,1250.48
17,510903,42743,294560,64032,109568,65013,0.83,4702,60288,3122705,78454791,1241.03
18,514380,41532,295200,65760,111888,64547,0.83,4839,59692,3117888,79053247,1223.75
19,506382,39842,301196,54192,111152,64704,0.82,3512,61181,1828232,81549101,1167.39
20,514524,42068,296872,62784,112800,65136,0.84,4492,60630,2569470,79199978,1222.59
21,516659,41471,297124,64560,113504,64958,0.84,4638,60304,2559198,79614392,1214.57
22,512557,40437,301000,58416,112704,65114,0.83,3950,61153,2043076,80767445,1191.28
23,513114,42978,294152,64064,111920,65381,0.84,4531,60836,2472222,78848547,1232.91
24,521895,46787,285380,78976,110752,65407,0.84,5677,59716,3925405,76522236,1291.8
25,510976,41620,296316,61920,111120,65093,0.83,4353,60715,2346982,79492510,1215.18
26,521266,44010,293416,70304,113536,65092,0.83,4734,60343,3601201,79261295,1238.47
27,511277,41325,295760,62240,111952,64869,0.83,4462,60391,2269501,78980522,1217.99
28,504974,38358,306808,48800,111008,64887,0.83,3429,61447,1780323,81805975,1168.65
29,511021,41057,299324,59568,111072,65157,0.84,4618,60524,2826907,79346231,1224.49
30,496732,36928,307596,40336,111872,64310,0.83,2874,61423,1378569,82025034,1146.61
