Sample,total_cost,wip_cost,fgi_cost,lateness_cost,overtime_cost,amount_of_shipped_orders,bottleneck_utilization,late_orders,early_orders,sum_of_lateness,sum_of_tardiness,average_flow_time,service_level
d0,587826.0,101715.0,173770.0,312342.0,0.0,65008.0,0.93,22163.0,42820.0,34609829.0,47018962.0,2209.0,0.66
d1,510609.0,40806.0,300218.0,57585.0,112000.0,65051.0,0.83,4068.0,60970.0,2342344.0,80428151.0,1200.0,0.94
d2,614832.0,27347.0,347913.0,15572.0,224000.0,65070.0,0.75,1097.0,63966.0,424530.0,92829833.0,980.0,0.98
dqn,614832.0,27347.0,347913.0,15572.0,224000.0,65070.0,0.75,1097.0,63966.0,424530.0,92829833.0,980.0,0.98
ppo,417765.0,49228.0,264294.0,66369.0,37874.0,65021.0,0.89,4745.0,60255.0,2045605.0,70880226.0,1342.0,0.93
rnd,512461.0,41785.0,297130.0,61735.0,111810.0,65043.0,0.83,4402.0,60625.0,2717208.0,79502001.0,1220.0,0.93
