Episode,total_cost,wip_cost,fgi_cost,lateness_cost,overtime_cost,amount_of_shipped_orders,bottleneck_utilization,late_orders,early_orders,sum_of_lateness,sum_of_tardiness,average_flow_time
1,853566,17942,384600,3024,448000,65142,0.62,220,64918,54880,102280538,831.76
2,852938,16834,385048,3056,448000,64451,0.62,219,64230,62469,102223791,814.52
3,852677,18081,383444,3152,448000,64954,0.62,202,64751,49859,102117713,826.95
4,852694,17214,384584,2896,448000,64701,0.62,203,64494,41562,102119497,822.98
5,854499,17855,386084,2560,448000,65240,0.62,244,64994,75865,102396997,830.95
6,853571,18359,382812,4400,448000,64999,0.62,305,64693,78358,101895844,834.47
7,852855,17827,384340,2688,448000,65002,0.62,184,64816,44225,102112606,828.9
8,853601,17129,386296,2176,448000,65125,0.62,182,64942,46863,102722146,824.44
9,852859,17211,384752,2896,448000,64620,0.62,196,64422,51975,102186197,818.17
10,853359,17731,384540,3088,448000,65131,0.62,214,64917,52087,102301055,830.75
11,853042,17914,384456,2672,448000,65026,0.62,180,64846,38050,102198149,828.99
12,853609,17477,385204,2928,448000,64905,0.62,207,64698,57026,102448584,822.89
13,851068,17632,382252,3184,448000,64708,0.62,211,64495,51441,101822527,829.24
14,854690,17226,386984,2480,448000,65053,0.62,195,64857,47357,102439750,825.92
15,854488,17720,384608,4160,448000,64926,0.62,328,64598,96304,102177319,827.07
16,852374,17266,385172,1936,448000,64703,0.62,132,64571,28906,102416262,816.73
17,852192,17852,383940,2400,448000,65004,0.62,176,64828,36186,102220969,828.2
18,853726,17394,385756,2576,448000,64915,0.62,210,64704,51973,102599634,821.44
19,853970,17782,384524,3664,448000,65038,0.62,273,64765,77490,102300389,829.66
20,851054,18714,380644,3696,448000,64993,0.62,262,64731,78319,101305259,843.23
21,853320,18476,383740,3104,448000,65251,0.63,227,65024,54961,102072978,837.38
22,853127,18235,383356,3536,448000,65054,0.63,226,64827,64906,102172862,830.24
23,854001,17573,384332,4096,448000,64953,0.62,285,64667,93744,102255803,827.1
24,852840,18700,383164,2976,448000,65091,0.62,196,64894,41938,102048894,834.51
25,856341,18049,385748,4544,448000,65326,0.63,326,64999,93236,102601010,831.63
26,857526,18450,386788,4288,448000,65571,0.63,285,65284,78661,103053305,831.37
27,856133,17937,386724,3472,448000,65242,0.62,238,65000,54776,102847386,824.27
28,855107,17187,386496,3424,448000,65027,0.62,228,64797,60624,102404984,823.87
29,853396,18268,382360,4768,448000,64829,0.62,319,64508,104282,101940498,830.43
30,853981,17905,384092,3984,448000,64979,0.63,280,64698,78439,102239474,828.35
