Sample,total_cost,wip_cost,fgi_cost,lateness_cost,overtime_cost,amount_of_shipped_orders,bottleneck_utilization,late_orders,early_orders,sum_of_lateness,sum_of_tardiness,average_flow_time,service_level
d0,699791.0,98744.0,50868.0,550179.0,0.0,64932.0,0.93,39292.0,25593.0,63258446.0,13940720.0,2199.0,0.39
d1,522526.0,40424.0,103131.0,266972.0,112000.0,65048.0,0.83,19052.0,45943.0,11800162.0,27491551.0,1199.0,0.71
d2,535287.0,26780.0,133200.0,151308.0,224000.0,65055.0,0.75,10787.0,54220.0,4507964.0,34887620.0,973.0,0.83
rnd,533763.0,42136.0,100833.0,278767.0,112027.0,65049.0,0.83,19757.0,45235.0,12871767.0,26995675.0,1223.0,0.7
dqn,535287.0,26780.0,133200.0,151308.0,224000.0,65055.0,0.75,10787.0,54220.0,4507964.0,34887620.0,973.0,0.83
ppo,465912.0,39464.0,96288.0,263239.0,66919.0,64954.0,0.86,18839.0,46051.0,9108296.0,26035149.0,1179.0,0.71
custom,469842.0,40497.0,93357.0,274572.0,61416.0,65051.0,0.87,19569.0,45413.0,9356102.0,25395660.0,1193.0,0.7
