Sample,total_cost,wip_cost,fgi_cost,lateness_cost,overtime_cost,amount_of_shipped_orders,bottleneck_utilization,late_orders,early_orders,sum_of_lateness,sum_of_tardiness,average_flow_time,service_level
custom,414077,34581,104424,186686,88386,65089,0.84,13240,51777,4241520,27788844,1078,0.8
ppo_regular,420646,34348,104836,185049,96413,65042,0.84,13247,51727,4213958,27818809,1077,0.8
ppo_simple,443880,38723,96589,234563,74005,65038,0.86,16756,48209,6833905,25678764,1151,0.74
d1,516739,27743,129325,135671,224000,65033,0.75,9708,55274,3610473,34339315,968,0.85
d2,687212,19146,155708,64357,448000,65032,0.62,4550,60452,1283553,41680601,819,0.93
d0,707859,101865,48295,557700,0,65075,0.93,39736,25289,62567425,12805661,2205,0.39
