Episode,total_cost,wip_cost,fgi_cost,lateness_cost,overtime_cost,amount_of_shipped_orders,bottleneck_utilization,late_orders,early_orders,sum_of_lateness,sum_of_tardiness,average_flow_time
1,689524,103444,52576,533504,0,64900,0.93,38412,26430,63131745,13657942,2203.4
2,664772,89440,52596,522736,0,64783,0.92,36993,27741,48418661,14168173,1969.7
3,709058,98450,47840,562768,0,65017,0.93,39795,25168,59477145,12959612,2158.17
4,687232,95884,50484,540864,0,64477,0.93,38253,26176,54839415,13420864,2082.14
5,717875,102631,46892,568352,0,65364,0.94,40712,24591,62866323,12362539,2212.49
6,679827,86415,51476,541936,0,65039,0.93,39075,25912,46981596,13359852,1957.86
7,759028,120628,44528,593872,0,65516,0.94,42007,23464,77878460,11768667,2450.26
8,685154,98206,52212,534736,0,65202,0.92,37855,27306,57049482,14026400,2100.1
9,711389,102173,47664,561552,0,64769,0.93,39451,25265,62349661,13006959,2201.62
10,727293,103273,44852,579168,0,65053,0.93,40366,24643,60228136,12422368,2173.63
11,676008,91112,50544,534352,0,65075,0.93,38954,26076,52810829,13033882,2050.78
12,690618,97770,51968,540880,0,64948,0.93,39288,25604,61962841,13388869,2189.68
13,747613,114237,44032,589344,0,65067,0.94,41259,23764,72405854,11974439,2367.42
14,653365,82621,52408,518336,0,64782,0.93,37736,26996,45433200,13479077,1932.74
15,734612,126560,49092,558960,0,65214,0.93,39880,25277,86146526,12901806,2564.58
16,709195,109823,47612,551760,0,64938,0.93,40335,24550,73171066,12196633,2379.1
17,672537,87713,50024,534800,0,64807,0.93,38707,26056,52550289,13192283,2048.25
18,694966,98906,49532,546528,0,64864,0.93,39529,25284,59436185,12762510,2160.27
19,707236,104508,49256,553472,0,65313,0.93,38926,26339,62682080,13206945,2198.12
20,671455,86459,49572,535424,0,64897,0.92,37079,27760,43144967,13753013,1894.19
21,748682,104246,41396,603040,0,65348,0.94,42559,22740,64741377,11205923,2257.75
22,787101,124505,38932,623664,0,65275,0.94,43347,21882,79248340,10885817,2486.33
23,691117,93973,48792,548352,0,65275,0.94,40017,25197,63169303,12382424,2217.48
24,755883,116471,44180,595232,0,65497,0.94,41955,23506,74540468,11815842,2395.89
25,697540,95636,46880,555024,0,65115,0.93,39078,25977,57757864,12769693,2130.91
26,699378,100570,49624,549184,0,65319,0.93,40068,25198,67391464,12681829,2278.04
27,718176,107756,48356,562064,0,64924,0.93,39964,24917,68138903,12892221,2290.78
28,697659,102743,51908,543008,0,64999,0.93,39581,25361,67225956,13232752,2270.81
29,701850,104110,50444,547296,0,65278,0.93,38188,27052,60379611,13778578,2154.31
30,749627,105675,43168,600784,0,65192,0.94,42709,22428,71464993,11481919,2360.67
