Episode,total_cost,wip_cost,fgi_cost,lateness_cost,overtime_cost,amount_of_shipped_orders,bottleneck_utilization,late_orders,early_orders,sum_of_lateness,sum_of_tardiness,average_flow_time
1,519880,28032,128728,139120,224000,65197,0.75,9816,55331,3495315,34306549,968.56
2,515236,27720,128316,135200,224000,65071,0.75,9659,55370,3319407,34025338,967.46
3,514747,27375,130060,133312,224000,65178,0.75,9547,55583,3343454,34461045,964.4
4,516001,27493,129500,135008,224000,64929,0.74,9369,55511,3269604,34614858,958.14
5,506623,26455,132248,123920,224000,64832,0.74,8992,55797,3282137,35155212,948.13
6,533455,29483,127476,152496,224000,65134,0.75,10898,54182,4850077,33807607,995.47
7,510485,27557,127888,131040,224000,65039,0.75,9915,55058,3515846,33812429,974.97
8,522057,28077,128540,141440,224000,64984,0.75,10292,54637,4019009,34114745,976.81
9,494780,25004,134432,111344,224000,64457,0.74,8188,56216,2745880,35337365,934.21
10,511517,27053,131344,129120,224000,65027,0.75,9158,55817,3343639,34888889,954.05
11,528307,28891,127128,148288,224000,65374,0.75,10515,54818,3987062,33749606,983.54
12,525007,28479,128544,143984,224000,64923,0.75,9899,54979,3801937,34292938,971.94
13,534810,29626,125120,156064,224000,65277,0.76,10895,54326,4128300,33458585,991.68
14,516496,27576,129768,135152,224000,64961,0.75,9649,55244,3439640,34359033,964.26
15,518656,28376,129144,137136,224000,65333,0.75,9651,55632,3684929,34473614,970.3
16,532830,29654,124360,154816,224000,65144,0.75,10863,54225,4268929,33341858,993.76
17,518920,28376,128256,138288,224000,64923,0.75,9471,55403,3673857,34409420,967.0
18,503135,25931,133812,119392,224000,64717,0.74,8835,55826,3397048,35286268,948.13
19,517664,27168,130144,136352,224000,64891,0.75,9700,55147,3451764,34324114,962.73
20,510841,27825,128552,130464,224000,65206,0.75,9339,55818,3298594,34311586,966.06
21,519153,28153,127592,139408,224000,65166,0.75,9911,55205,3469755,33848012,973.95
22,525143,29047,127136,144960,224000,65325,0.76,10401,54865,4143165,33899629,984.66
23,517569,27861,128588,137120,224000,64728,0.75,9789,54892,3705255,34226872,971.18
24,511986,27006,131828,129152,224000,65093,0.75,9022,56021,3274937,35195139,950.54
25,518812,28352,128396,138064,224000,65160,0.75,10150,54963,4141523,33876639,982.95
26,514002,27846,129980,132176,224000,65298,0.75,9592,55659,3688144,34389543,970.04
27,510056,27120,130040,128896,224000,64822,0.75,9352,55418,3365781,34364376,959.83
28,510343,26843,131740,127760,224000,64774,0.75,9320,55400,3566690,34870117,957.39
29,505174,26226,132980,121968,224000,65063,0.74,8980,56029,3184775,35096901,949.75
30,518495,27691,128100,138704,224000,64967,0.75,10069,54850,3457725,33881166,970.87
